ID,dataset,NPR1,NPR2
CNP0258726.2,Hasubanan,0.43700404969734175,0.9648421314275767
CNP0253450.3,Hasubanan,,
CNP0253450.4,Hasubanan,,
CNP0220872.4,Hasubanan,,
CNP0305874.2,Hasubanan,0.4853840217904483,0.767125319029144
CNP0202494.0,Hasubanan,0.3784182469303491,0.8502754948260509
CNP0425428.0,Hasubanan,0.3859399426445125,0.8494776006783088
CNP0530114.0,Hasubanan,0.46099511083459394,0.8935327130136664
CNP0141682.0,Hasubanan,0.37517930865901944,0.9212326055592887
CNP0220872.1,Hasubanan,,
CNP0268936.0,Hasubanan,0.43106254383405956,0.9368516595716918
CNP0268936.1,Hasubanan,0.4229599025300392,0.9029249391870576
CNP0188049.0,Hasubanan,0.26906146337473025,0.8725183756575936
CNP0085530.1,Hasubanan,0.5055862238598859,0.9645380903406948
CNP0285512.1,Hasubanan,0.38087040729719046,0.9596422182465864
CNP0188049.1,Hasubanan,0.23589417086777537,0.896694931843406
CNP0188190.2,Hasubanan,,
CNP0218907.0,Hasubanan,0.16966881130559283,0.9817833698724558
CNP0221538.0,Hasubanan,0.4652476133053395,0.9101845129651461
CNP0260173.0,Hasubanan,0.3518534728890918,0.7794833389535863
CNP0236448.0,Hasubanan,0.4529098164752889,0.7971996494937743
CNP0236448.1,Hasubanan,0.3930601540451225,0.796909444179875
CNP0425492.0,Hasubanan,0.32638490945802123,0.8602844096095507
CNP0425492.1,Hasubanan,,
CNP0268936.2,Hasubanan,,
CNP0148948.1,Hasubanan,0.48358707367641895,0.9639252824689242
CNP0424904.1,Hasubanan,0.4881789145040321,0.814075122811847
CNP0081298.1,Hasubanan,0.43677857827708394,0.8995772254776185
CNP0283438.2,Hasubanan,0.3399833489253655,0.9495625532361293
CNP0227329.1,Hasubanan,0.4268926281176717,0.896463801722687
CNP0285512.0,Hasubanan,0.39385532553011304,0.9157729157573136
CNP0183649.3,Hasubanan,0.35335107074405125,0.9218108541510094
CNP0141682.2,Hasubanan,0.37518006079005733,0.9212316841429252
CNP0424970.2,Hasubanan,0.3518447007098153,0.8745748220885862
CNP0285512.2,Hasubanan,0.38087040729719046,0.9596422182465864
CNP0268936.4,Hasubanan,0.43299298926549845,0.9655870932868721
CNP0221538.3,Hasubanan,,
CNP0253450.2,Hasubanan,0.4310699047480971,0.932770524471585
CNP0275234.1,Hasubanan,0.48579896648842646,0.7790645947891935
CNP0543853.1,Hasubanan,0.3493645301894015,0.8134260981564747
CNP0174146.1,Hasubanan,0.449224181633874,0.9579907741357766
