ID,dataset,NPR1,NPR2
Z9359117440,enamine,0.14235016199272116,0.9976810706077068
Z2285492265,enamine,0.11349732565957439,0.9556691598583714
Z1760071406,enamine,0.26571588529109424,0.9145650222519455
Z1312586941,enamine,0.18631294268279963,0.9375427022045533
Z8535460058,enamine,0.11088915515456184,0.9162959939585916
Z9128121753,enamine,0.07331241340426388,0.9485401518164704
Z7811139951,enamine,0.10352503962271463,0.9771258218792271
Z7151784148,enamine,0.1883660285620408,0.8936650831706047
Z9092720097,enamine,0.07998074379559902,0.959183487587531
Z8755284348,enamine,0.26389611676768565,0.7797621641069263
Z9560285554,enamine,0.2797483766813305,0.8021949833565702
Z2158953474,enamine,0.2168062488890106,0.8769536869053982
Z850767518,enamine,0.11458374997356187,0.9613876563087743
Z3625413570,enamine,0.20945223162490373,0.8618313160025246
Z2020090970,enamine,0.3320932444988888,0.9186429189604944
Z8762229334,enamine,0.23113453045218335,0.8868923541284813
Z7994779779,enamine,0.16119583752111374,0.9332626668068623
Z9414732234,enamine,0.223543905278303,0.9090166097642723
Z4306700649,enamine,0.13323378020583673,0.8970144912416887
Z2148253102,enamine,0.5227644456163464,0.8657894770387076
Z1754532588,enamine,0.3398622561230188,0.840544492356306
Z5014135828,enamine,0.14988540942441994,0.9164789252672919
Z842915922,enamine,0.22244066352756514,0.8210152191954713
Z5179246349,enamine,0.23926602922977389,0.8722775284036166
Z2982527863,enamine,0.22982886501194608,0.9039153266554417
Z2447442841,enamine,0.20290457953817567,0.8641711288630277
Z4070732221,enamine,0.18941748353088272,0.9444766017582693
Z1760232186,enamine,0.3384105479880257,0.7812024727847475
Z3559430781,enamine,0.18689783758874678,0.8750595075998142
Z2053585112,enamine,0.404771311805821,0.7764707295531006
Z3561462206,enamine,0.26352243727453095,0.8730227864534306
Z261770190,enamine,0.09091202383753424,0.9606515642301559
Z4775977215,enamine,0.33072814007541457,0.8315804977719512
Z8254754486,enamine,0.2381577615483355,0.8518422207125281
Z8254738287,enamine,0.12722537541336934,0.9066225117611977
Z1400604438,enamine,0.5308913987573072,0.656984964889505
Z1517031406,enamine,0.1398556935320325,0.9386257135328316
Z2025630689,enamine,0.45199997010932524,0.7054688535123852
Z8623972655,enamine,0.39398442130835015,0.8508833343675949
Z1783313920,enamine,0.12396021577190369,0.9534944968851855
Z9271454022,enamine,0.22002532711847858,0.9042332992573809
Z1882832506,enamine,0.6028444877175066,0.7774392419208868
Z3800171088,enamine,0.5146817331275211,0.6526751000657188
Z8803508549,enamine,0.19643142705473915,0.9203813095874083
Z9295618321,enamine,0.22334960962514186,0.9883729622313049
Z9466023679,enamine,0.27581974422329136,0.8073003853745008
Z1885745347,enamine,0.21743258482074218,0.9377678166881366
